SimulationID,Re,n,C_D,C_Df,C_Dp,shear_rate_max,pressure_diff
74,11.2883789168469,0.7,3.66284533637776,2.05300199968005,1.60984333669771,31.4318046569824,1.37758636474609
75,16.2377673918872,0.7,2.7792782078297,1.52342092935926,1.25585982494953,36.3423347473145,1.19168591499329
76,23.3572146909012,0.7,2.13766224348858,1.13785598394347,0.999803713066018,42.4519348144531,1.06580138206482
77,33.5981828628378,0.7,1.66299599473222,0.852400770972028,0.810595223760194,49.827938079834,0.983706593513489
78,48.3293023857175,0.7,1.3067741278644,0.638122195030369,0.668651932834029,58.3971366882324,0.929798603057861
79,69.5192796177561,0.7,1.03612414431913,0.474386136056516,0.561740554741706,67.8222885131836,0.886400163173676
80,100,0.7,0.829197253508775,0.348419454937688,0.480775252091997,77.4537353515625,0.850395202636719
81,0.1,0.6,335.330180631863,,,27.1718921661377,98.2655487060547
82,0.143844988828766,0.6,233.128019052094,,,27.1789035797119,68.3311920166016
83,0.206913808111479,0.6,162.081754112253,,,27.1897468566895,47.5233192443848
84,0.297635144163132,0.6,112.696558414549,,,27.2148952484131,33.0611381530762
85,0.428133239871939,0.6,78.3724216182704,,,27.2427825927734,23.0117874145508
86,0.615848211066026,0.6,54.5220602691049,,,27.2894515991211,16.0322303771973
87,0.885866790410083,0.6,37.9576976231275,,,27.3698196411133,11.1895370483398
88,1.27427498570313,0.6,26.4646200725602,,,27.5115737915039,7.83597040176392
89,1.83298071083244,0.6,18.5041125346324,,,27.7648506164551,5.5221118927002
90,2.63665089873036,0.6,12.9847387927227,,,28.1443691253662,3.92670559883118
91,3.79269019073225,0.6,9.20784684384391,,,28.9331817626953,2.85819673538208
92,5.45559478116852,0.6,6.60841117522896,,,30.1950855255127,2.15101361274719
93,7.84759970351461,0.6,4.79801478488184,,,32.3017845153809,1.69563102722168
94,11.2883789168469,0.6,3.54773938857552,,,36.7386779785156,1.39966928958893
95,16.2377673918872,0.6,2.66009534700522,,,42.3954925537109,1.20525527000427
96,23.3572146909012,0.6,2.02012950111408,,,49.3695335388184,1.07256257534027
97,33.5981828628378,0.6,1.55067589505387,,,57.6178016662598,0.987216711044312
98,48.3293023857175,0.6,1.2011869188986,,,66.8645858764648,0.931501030921936
99,69.5192796177561,0.6,0.938431020530694,,,67.9598999023438,0.885149359703064
100,100,0.6,0.741738429180916,,,85.8013076782227,0.850330829620361
101,0.1,0.5,344.289463105305,175.51442876273,168.775034342575,36.153923034668,106.861526489258
102,0.143844988828766,0.5,239.352176718638,122.017830529996,117.334346188642,36.1613998413086,74.3067626953125
103,0.206913808111479,0.5,166.402630017182,84.8281433608156,81.5744866563666,36.1726112365723,51.6767196655273
104,0.297635144163132,0.5,115.691640539295,58.9752334021698,56.7164096836042,36.1896934509277,35.9470443725586
105,0.428133239871939,0.5,80.4420495799255,41.0040429184236,39.438006661502,36.2162170410156,25.0155830383301
106,0.615848211066026,0.5,55.9429675897594,28.512834691552,27.4301328982074,36.2583961486816,17.4213790893555
107,0.885866790410083,0.5,38.9201724992209,19.8322006924757,19.0879692602662,36.3272819519043,12.1494274139404
108,1.27427498570313,0.5,27.0984056137012,13.8019192114083,13.2964864022929,36.4430236816406,8.49493980407715
109,1.83298071083244,0.5,18.8969273060159,9.61569348129257,9.28123382472336,36.6425628662109,5.9687442779541
110,2.63665089873036,0.5,13.2173672969831,6.71305364045257,6.5043136565305,36.9926643371582,4.23122358322144
111,3.79269019073225,0.5,9.29502300899284,4.70362953743062,4.59139347156222,37.607852935791,3.06443357467651
112,5.45559478116852,0.5,6.58057815878105,3.30736194844588,3.27321366385608,38.5258560180664,2.27906227111816
113,7.84759970351461,0.5,4.7265860464222,2.34790974303161,2.37867884986968,40.2765502929688,1.78032875061035
114,11.2883789168469,0.5,3.44312748110099,1.67921452005306,1.76391296104793,42.9406394958496,1.44537878036499
115,16.2377673918872,0.5,2.53508868850312,1.20519507698543,1.3298936115177,49.9339332580566,1.22630214691162
116,23.3572146909012,0.5,1.89795198088038,0.869839059776721,1.02811292110366,57.5858116149902,1.08499526977539
117,33.5981828628378,0.5,1.43488494437656,0.625015467156865,0.809869477219695,66.3808059692383,0.993986189365387
118,48.3293023857175,0.5,1.09339445904132,0.444210358846293,0.649184100195028,75.7968368530274,0.934279441833496
119,69.5192796177561,0.5,0.840765908012238,0.307377851452695,0.533388056559544,85.1536254882813,0.883163034915924
120,100,0.5,0.658076405175458,0.206924344331269,0.451152060844189,93.6250228881836,0.851589322090149
121,0.1,0.4,346.392806450105,,,48.7657852172852,116.162490844727
122,0.143844988828766,0.4,240.812574837012,,,48.7741889953613,80.7465744018555
123,0.206913808111479,0.4,167.41529344965,,,48.7865905761719,56.1271514892578
124,0.297635144163132,0.4,116.391942660732,,,48.8050765991211,39.0140075683594
125,0.428133239871939,0.4,80.9236193334935,,,48.8330116271973,27.1200904846191
126,0.615848211066026,0.4,56.2702283499427,,,48.875919342041,18.8620147705078
