SimulationID,Re,n,CD,shear_rate_max,pressure_diff
76,23.3572146909012,0.7,2.2837766671633,35.3042411804199,1.06625282764435
77,33.5981828628378,0.7,1.80551478993261,41.9388198852539,0.987269639968872
78,48.3293023857175,0.7,1.43848057285089,49.8624801635742,0.933556795120239
79,69.5192796177561,0.7,1.15379694304356,52.5500869750977,0.891950130462647
80,100,0.7,0.931400191764666,68.5652694702148,0.855247378349304
81,0.1,0.6,244.308350773288,11.8365106582642,65.4331741333008
82,0.143844988828766,0.6,170.469125393469,11.8968830108643,45.6834678649902
83,0.206913808111479,0.6,119.260036966244,12.0028314590454,31.9886856079102
84,0.297635144163132,0.6,83.7359559328626,12.1641263961792,22.4903583526611
85,0.428133239871939,0.6,59.0605328122298,12.4022626876831,15.8943634033203
86,0.615848211066026,0.6,41.8859904862707,12.7386665344238,11.3052434921265
87,0.885866790410083,0.6,29.9011852770476,13.2007131576538,8.10551738739014
88,1.27427498570313,0.6,21.511792091434,13.8239231109619,5.86876773834229
89,1.83298071083244,0.6,15.614182170928,14.6514110565186,4.30099058151245
90,2.63665089873036,0.6,11.4456697493586,15.7350721359253,3.19887781143188
91,3.79269019073225,0.6,8.47899359885572,17.5753345489502,2.42428350448608
92,5.45559478116852,0.6,6.35009633639309,20.0397911071777,1.9126923084259
93,7.84759970351461,0.6,4.80771941669181,23.1967830657959,1.57829713821411
94,11.2883789168469,0.6,3.67825153486905,27.1936454772949,1.34609055519104
95,16.2377673918872,0.6,2.8416491201681,32.1894912719727,1.18606853485107
96,23.3572146909012,0.6,2.21454044719969,38.3351745605469,1.06939673423767
97,33.5981828628378,0.6,1.73883523497483,45.7276191711426,0.988996505737305
98,48.3293023857175,0.6,1.37447736741615,54.5300254821777,0.934762001037598
99,69.5192796177561,0.6,1.09204227864481,56.824577331543,0.892705857753754
100,100,0.6,0.872347341679849,74.1112442016602,0.854416072368622
101,0.1,0.5,243.482919762353,12.2488327026367,65.838752746582
