Simulation ID,Re,n,CD,shear_rate_max,pressure_diff
85,0.428133239871939,0.6,59.5725610021868,11.1189298629761,15.596399307251
86,0.615848211066026,0.6,42.3338830538804,11.3873529434204,11.1092205047607
87,0.885866790410083,0.6,30.3011250969234,11.7524156570435,7.97944164276123
88,1.27427498570313,0.6,21.8734175869297,12.2386035919189,5.79059600830078
89,1.83298071083244,0.6,15.944338277836,12.8746519088745,4.25510120391846
90,2.63665089873036,0.6,11.7490649075154,13.6932573318481,3.17434787750244
91,3.79269019073225,0.6,8.75917760011196,15.1200475692749,2.41116666793823
92,5.45559478116852,0.6,6.60986776126814,16.9346084594727,1.89942145347595
93,7.84759970351461,0.6,5.04938792171981,19.2185020446777,1.56749427318573
94,11.2883789168469,0.6,3.90387212867521,22.0770874023437,1.33732318878174
95,16.2377673918872,0.6,3.05298396628233,25.6402988433838,1.17796170711517
96,23.3572146909012,0.6,2.41308178236842,30.0633144378662,1.06413006782532
97,33.5981828628378,0.6,1.92571624239288,35.5743141174316,0.986841380596161
98,48.3293023857175,0.6,1.54971332595805,42.2224807739258,0.933566212654114
99,69.5192796177561,0.6,1.25580634888865,50.1132926940918,0.893024325370789
100,100,0.6,1.02351397986808,53.5958442687988,0.858347296714783
101,0.1,0.5,245.4563060933,10.6833219528198,64.0513076782227
102,0.143844988828766,0.5,171.344839180505,10.7334632873535,44.7350616455078
103,0.206913808111479,0.5,119.957150895861,10.8210973739624,31.3421897888184
104,0.297635144163132,0.5,84.3133013114646,10.9529256820679,22.0534133911133
105,0.428133239871939,0.5,59.5541754231609,11.145899772644,15.6023445129395
106,0.615848211066026,0.5,42.3185863539899,11.4161281585693,11.1131782531738
107,0.885866790410083,0.5,30.2879954507381,11.7838230133057,7.98202991485596
108,1.27427498570313,0.5,21.8618030958026,12.2738227844238,5.79224395751953
109,1.83298071083244,0.5,15.9337602036983,12.915397644043,4.25610733032227
110,2.63665089873036,0.5,11.7391591038574,13.7420606613159,3.17492055892944
111,3.79269019073225,0.5,8.74964103592189,15.1841611862183,2.4114556312561
112,5.45559478116852,0.5,6.60043050976256,17.0226020812988,1.89981484413147
113,7.84759970351461,0.5,5.03978514907342,19.3432922363281,1.56794619560242
114,11.2883789168469,0.5,3.89381862922998,22.2584915161133,1.33788847923279
115,16.2377673918872,0.5,3.04216906958935,25.9077072143555,1.17878723144531
116,23.3572146909012,0.5,2.40117444614606,30.4584007263184,1.065025806427
117,33.5981828628378,0.5,1.91238797083859,36.1505470275879,0.987894058227539
118,48.3293023857175,0.5,1.53469164580926,43.0339241027832,0.934866786003113
119,69.5192796177561,0.5,1.23971514752229,51.3776092529297,0.894503474235535
120,100,0.5,1.00541615297921,54.763053894043,0.859614968299866
121,0.1,0.4,245.401757964725,10.7077474594116,64.0789947509766
122,0.143844988828766,0.4,171.304902748945,10.7581729888916,44.7540969848633
123,0.206913808111479,0.4,119.927056605982,10.8463077545166,31.3552207946777
124,0.297635144163132,0.4,84.2898711573624,10.9789447784424,22.0622673034668
125,0.428133239871939,0.4,59.5353161990243,11.1731576919556,15.6083078384399
126,0.615848211066026,0.4,42.3029178681524,11.4452219009399,11.1171493530273
127,0.885866790410083,0.4,30.2745602270621,11.8155918121338,7.98462629318237
128,1.27427498570313,0.4,21.8499365032457,12.3094863891602,5.79390144348145
129,1.83298071083244,0.4,15.9229503999635,12.9567050933838,4.25711727142334
130,2.63665089873036,0.4,11.7290317565185,13.7916297912598,3.17549753189087
131,3.79269019073225,0.4,8.73986255621833,15.2492446899414,2.41174507141113
132,5.45559478116852,0.4,6.59072078499441,17.1120414733887,1.90021133422852
133,7.84759970351461,0.4,5.02983350879177,19.469934463501,1.56839787960053
134,11.2883789168469,0.4,3.88331185650683,22.4416522979736,1.33845460414886
135,16.2377673918872,0.4,3.03074047143581,26.1737899780273,1.17962431907654
136,23.3572146909012,0.4,2.38922891273735,30.9048957824707,1.06610465049744
137,33.5981828628378,0.4,1.89906224576339,36.7782440185547,0.989218354225159
138,48.3293023857175,0.4,1.51969543045137,44.0619697570801,0.936425685882568
139,69.5192796177561,0.4,1.22220046434491,52.6533012390137,0.895944356918335
140,100,0.4,0.986292095017289,55.9630508422852,0.860878825187683
141,0.1,0.3,245.345541892346,10.7324190139771,64.1067581176758
142,0.143844988828766,0.3,171.263769472213,10.7831325531006,44.7731971740723
143,0.206913808111479,0.3,119.896093966733,10.8717784881592,31.3682804107666
144,0.297635144163132,0.3,84.2657865581342,11.0052328109741,22.071138381958
145,0.428133239871939,0.3,59.5159705973816,11.2007026672363,15.6142921447754
146,0.615848211066026,0.3,42.2868725034097,11.4746427536011,11.1211376190186
147,0.885866790410083,0.3,30.2608194258953,11.8477363586426,7.98723793029785
148,1.27427498570313,0.3,21.8377948909471,12.3456029891968,5.79555892944336
149,1.83298071083244,0.3,15.9118961342361,12.9985942840576,4.25813388824463
150,2.63665089873036,0.3,11.7186523077498,13.8419580459595,3.17607688903809
151,3.79269019073225,0.3,8.72981414973128,15.3150453567505,2.41203451156616
152,5.45559478116852,0.3,6.58068256442372,17.2018356323242,1.90060901641846
153,7.84759970351461,0.3,5.019451513544,19.5946674346924,1.56884264945984
154,11.2883789168469,0.3,3.87298333731994,22.6467437744141,1.33924651145935
155,16.2377673918872,0.3,3.01968620570842,26.4958248138428,1.18069386482239
156,23.3572146909012,0.3,2.3763768327728,31.3601779937744,1.06715130805969
157,33.5981828628378,0.3,1.88460588397247,37.4655799865723,0.990489721298218
158,48.3293023857175,0.3,1.50275370506912,44.9922065734863,0.938055038452148
159,69.5192796177561,0.3,1.20312733596478,53.8892974853516,0.897621870040894
160,100,0.3,0.965535743959016,57.1893768310547,0.86251175403595
